seed,method,n_train,accuracy,exploitation_rate,avg_reliability,avg_curl_ratio,avg_harmonic_ratio
12,harmonic_only,2880,0.9295138888888889,0.069,0.883347670250896,0.11665232974910396,5.685857518046992e-30
12,curl_only,2802,0.9414703783012134,0.074,0.9339624071547673,0.03329543731999395,0.03274215552523874
12,reliability_score,2682,0.9485458612975392,0.069,0.9655774956903308,0.03442250430966934,6.196788958463008e-30
13,raw,3000,0.907,0.072,0.8326805555555556,0.11981944444444444,0.0475
13,harmonic_only,2810,0.9170818505338079,0.076,0.8742053076698747,0.1257946923301254,8.301532408834911e-30
13,curl_only,2778,0.9287257019438445,0.074,0.9175543311906947,0.03010407101316193,0.05234159779614325
13,reliability_score,2588,0.9389489953632149,0.076,0.9682332041343669,0.031766795865633086,9.173217687188392e-30
14,raw,3000,0.922,0.07,0.855639202565175,0.09668200195176356,0.04767879548306148
14,harmonic_only,2810,0.9291814946619217,0.086,0.8984775289123116,0.1015224710876885,7.055693696345109e-30
14,curl_only,2838,0.9365750528541226,0.085,0.9178256318229401,0.031030357409899813,0.05114401076716016
14,reliability_score,2648,0.9448640483383686,0.142,0.9672970843183609,0.03270291568163909,7.581023962135396e-30
15,raw,3000,0.913,0.078,0.8427065884980458,0.11834868788386377,0.038944723618090454
15,harmonic_only,2845,0.9191564147627417,0.092,0.8768554829339144,0.1231445170660857,7.350925328862016e-30
15,curl_only,2790,0.9315412186379929,0.078,0.9239592898683808,0.0333409856137129,0.04269972451790634
15,reliability_score,2635,0.9392789373814042,0.084,0.9651718625099921,0.034828137490008,8.07144289314831e-30
16,raw,3000,0.92,0.091,0.8424452861952862,0.12093855218855219,0.036616161616161616
16,harmonic_only,2855,0.9253940455341506,0.147,0.8744648318042814,0.12553516819571867,7.860567310287394e-30
16,curl_only,2781,0.9395900755124056,0.141,0.9279786740843765,0.03168752897542884,0.04033379694019471
16,reliability_score,2636,0.9468892261001517,0.133,0.9669806763285025,0.03301932367149759,8.671327748157969e-30
17,raw,3000,0.929,0.07,0.879715600167294,0.09142618151401088,0.028858218318695106
17,harmonic_only,2885,0.9337954939341421,0.071,0.9058570198105081,0.09414298018949183,6.92521430402162e-30
17,curl_only,2853,0.9421661409043113,0.07,0.9373440285204993,0.03190730837789662,0.03074866310160428
17,reliability_score,2738,0.9481373265157049,0.072,0.9670804597701149,0.032919540229885066,7.379934241687967e-30
18,raw,3000,0.9236666666666666,0.073,0.8645379676158571,0.09777359017308766,0.03768844221105527
18,harmonic_only,2850,0.9305263157894736,0.073,0.8983971569480708,0.10160284305192922,8.101501448833354e-30
18,curl_only,2841,0.9384019711369236,0.073,0.9262075669208912,0.03341558247345597,0.040376850605652756
18,reliability_score,2691,0.94611668524712,0.073,0.9651784322892317,0.03482156771076828,8.689057086693087e-30
19,raw,3000,0.9196666666666666,0.093,0.8442976939203355,0.1041299790356394,0.05157232704402516
19,harmonic_only,2795,0.9284436493738819,0.094,0.8902077807250222,0.1097922192749779,7.392431601437649e-30
19,curl_only,2823,0.9355295784626284,0.093,0.9119791666666667,0.03231431159420291,0.05570652173913043
19,reliability_score,2618,0.9457601222307105,0.098,0.965779376498801,0.03422062350119905,8.003248531125148e-30
20,raw,3000,0.9176666666666666,0.065,0.8348041265858079,0.11877178307542174,0.04642409033877039
